Login,Contributions,URL,Type,Site Admin,Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
iteriani,37,https://github.com/iteriani,User,False,4397,0,0,0,30,6,1,False
caitp,37,https://github.com/caitp,User,False,4546,0,0,0,30,1013,580,False
StephenFluin,35,https://github.com/StephenFluin,User,False,5548,0,0,0,30,662,32,False
tbondwilkinson,33,https://github.com/tbondwilkinson,User,False,4533,0,0,0,30,19,9,False
jenniferfell,33,https://github.com/jenniferfell,User,False,2721,0,0,0,2,16,1,False
MarkTechson,33,https://github.com/MarkTechson,User,False,4509,0,0,0,30,394,95,False
hansl,33,https://github.com/hansl,User,False,5081,30,30,30,30,326,68,False
wagnermaciel,32,https://github.com/wagnermaciel,User,False,2953,30,30,30,17,26,1,False
sreevani-ship-it,32,https://github.com/sreevani-ship-it,User,False,2673,30,11,2,7,11,0,False
hawkgs,31,https://github.com/hawkgs,User,False,4294,30,14,26,30,40,139,False
wKoza,31,https://github.com/wKoza,User,False,3631,30,30,30,30,30,0,False
andrewseguin,30,https://github.com/andrewseguin,User,False,3044,30,30,30,25,222,29,False
danieltre23,29,https://github.com/danieltre23,User,False,3019,30,30,0,7,1,0,False
tinayuangao,29,https://github.com/tinayuangao,User,False,3126,30,30,30,9,39,2,False
CaerusKaru,28,https://github.com/CaerusKaru,User,False,5257,0,0,0,30,0,5,False
LayZeeDK,27,https://github.com/LayZeeDK,User,False,4056,30,30,30,30,528,14,False
zarend,27,https://github.com/zarend,User,False,3917,0,0,0,28,12,4,False
jessicajaniuk,25,https://github.com/jessicajaniuk,User,False,1588,0,0,0,6,339,12,False
atcastle,24,https://github.com/atcastle,User,False,3831,0,0,0,11,66,4,False
jakemac53,24,https://github.com/jakemac53,User,False,4933,0,0,0,30,187,15,False
alkavats1,23,https://github.com/alkavats1,User,False,1510,0,0,0,30,6,3,False
aanchal88,23,https://github.com/aanchal88,User,False,1510,0,0,0,21,6,0,False
AlexElin,22,https://github.com/AlexElin,User,False,3523,0,0,0,30,2,0,False
ahasall,22,https://github.com/ahasall,User,False,3794,30,28,27,13,131,33,False
alfaproject,22,https://github.com/alfaproject,User,False,5828,30,30,30,30,43,22,False
lacolaco,22,https://github.com/lacolaco,User,False,4724,30,30,30,30,665,79,False
vojtajina,21,https://github.com/vojtajina,User,False,5877,30,30,30,30,1181,58,False
swseverance,20,https://github.com/swseverance,User,False,3253,30,30,26,30,10,21,False
ttowncompiled,20,https://github.com/ttowncompiled,User,False,4325,30,30,30,30,39,6,False
vladboisa,20,https://github.com/vladboisa,User,False,1841,30,30,13,30,0,0,False
iRealNirmal,20,https://github.com/iRealNirmal,User,False,4332,30,10,25,26,6,3,False
devknoll,20,https://github.com/devknoll,User,False,4738,30,30,30,12,143,284,False
sheikalthaf,18,https://github.com/sheikalthaf,User,False,3062,30,30,30,30,32,7,False
dalejodc,18,https://github.com/dalejodc,User,False,2544,0,0,0,18,46,17,False
danielsogl,18,https://github.com/danielsogl,User,False,3406,0,0,0,30,306,2425,False
kwalrath,17,https://github.com/kwalrath,User,False,4567,0,0,0,30,197,4,False
0x-r4bbit,17,https://github.com/0x-r4bbit,User,False,5234,0,0,0,30,2337,142,False
Ahmed-Hakeem,17,https://github.com/Ahmed-Hakeem,User,False,1734,0,0,8,30,24,25,False
thesmiler,17,https://github.com/thesmiler,User,False,3650,23,7,4,7,9,0,False
eneajaho,16,https://github.com/eneajaho,User,False,2942,30,30,30,30,405,89,False
markostanimirovic,16,https://github.com/markostanimirovic,User,False,3259,30,30,30,30,331,270,False
dsnoeijer,15,https://github.com/dsnoeijer,User,False,1291,30,12,0,19,0,0,False
martinsik,14,https://github.com/martinsik,User,False,5429,30,30,30,25,101,258,False
TedSander,14,https://github.com/TedSander,User,False,4148,30,10,30,12,15,0,False
Piyush132000,13,https://github.com/Piyush132000,User,False,1606,28,3,0,30,2,0,False
bowenni,13,https://github.com/bowenni,User,False,4535,30,30,30,28,17,1,False
ranma42,12,https://github.com/ranma42,User,False,4730,30,30,30,30,45,4,False
alfonso-presa,12,https://github.com/alfonso-presa,User,False,3869,30,30,0,30,30,10,False
GeorgySerga,12,https://github.com/GeorgySerga,User,False,3770,0,0,0,30,7,0,False
Splaktar,12,https://github.com/Splaktar,User,False,4392,0,0,0,30,377,21,False
chalin,12,https://github.com/chalin,User,False,4328,0,0,0,30,166,1,False
goderbauer,11,https://github.com/goderbauer,User,False,4828,0,0,0,30,595,86,False
FrederikSchlemmer,11,https://github.com/FrederikSchlemmer,User,False,2602,0,0,0,11,12,1,False
sbrshkappa,11,https://github.com/sbrshkappa,User,False,4308,11,4,24,30,2,2,False
dimakuba,11,https://github.com/dimakuba,User,False,3425,30,12,30,30,6,0,False
ramthir,11,https://github.com/ramthir,User,False,3627,13,0,5,11,10,4,False
t-bowersox,11,https://github.com/t-bowersox,User,False,3607,30,30,30,3,1,0,False
garrettld,10,https://github.com/garrettld,User,False,3582,20,8,3,9,6,0,False
PowerKiKi,10,https://github.com/PowerKiKi,User,False,5791,30,30,30,30,185,3,False
hankduan,10,https://github.com/hankduan,User,False,4900,30,10,30,12,73,1,False
SekibOmazic,10,https://github.com/SekibOmazic,User,False,4370,30,30,30,30,33,130,False
serpent5,9,https://github.com/serpent5,User,False,4102,30,30,30,5,46,28,False
jakovljevic-mladen,9,https://github.com/jakovljevic-mladen,User,False,2852,30,30,17,15,36,11,False
benbraou,9,https://github.com/benbraou,User,False,3437,0,0,0,22,23,80,False
4javier,9,https://github.com/4javier,User,False,5224,0,0,0,18,7,0,False
JeevanMahesha,9,https://github.com/JeevanMahesha,User,False,2611,0,0,0,18,42,3,False
joostme,9,https://github.com/joostme,User,False,3445,0,0,0,22,7,17,False
harryterkelsen,9,https://github.com/harryterkelsen,User,False,4602,0,0,0,11,117,14,False
AlirezaEbrahimkhani,8,https://github.com/AlirezaEbrahimkhani,User,False,2220,0,0,0,30,98,55,False
