login,contributions,url,type,site_admin,account_age_(days),total_prs_submitted,total_prs_merged,total_issues_opened,total_repositories_contributed_to,followers,stars_received,is_member_of_organization,source_project,approval_rate,contributor_seniority
bjarkler,43,https://github.com/bjarkler,User,False,1724.0,0.0,0.0,0,16,9,0,False,Angular,0.0,4.72
twerske,43,https://github.com/twerske,User,False,3417.0,0.0,0.0,0,30,405,64,False,Angular,0.0,9.36
kevmoo,43,https://github.com/kevmoo,User,False,6061.0,0.0,0.0,0,30,2232,302,False,Angular,0.0,16.61
sasidharansd,42,https://github.com/sasidharansd,User,False,2183.0,0.0,0.0,0,30,7,7,False,Angular,0.0,5.98
naomiblack,42,https://github.com/naomiblack,User,False,4547.0,0.0,0.0,0,24,170,1,False,Angular,0.0,12.46
jteplitz,40,https://github.com/jteplitz,User,False,5495.0,0.0,0.0,0,30,107,17,False,Angular,0.0,15.05
TeriGlover,39,https://github.com/TeriGlover,User,False,1545.0,0.0,0.0,0,3,0,0,False,Angular,0.0,4.23
santoshyadavdev,38,https://github.com/santoshyadavdev,User,False,3597.0,0.0,0.0,0,30,1701,194,False,Angular,0.0,9.85
iteriani,37,https://github.com/iteriani,User,False,4397.0,0.0,0.0,0,30,6,1,False,Angular,0.0,12.05
caitp,37,https://github.com/caitp,User,False,4546.0,0.0,0.0,0,30,1013,580,False,Angular,0.0,12.45
StephenFluin,35,https://github.com/StephenFluin,User,False,5548.0,0.0,0.0,0,30,662,32,False,Angular,0.0,15.2
tbondwilkinson,33,https://github.com/tbondwilkinson,User,False,4533.0,0.0,0.0,0,30,19,9,False,Angular,0.0,12.42
jenniferfell,33,https://github.com/jenniferfell,User,False,2721.0,0.0,0.0,0,2,16,1,False,Angular,0.0,7.45
MarkTechson,33,https://github.com/MarkTechson,User,False,4509.0,0.0,0.0,0,30,394,95,False,Angular,0.0,12.35
hansl,33,https://github.com/hansl,User,False,5081.0,30.0,30.0,30,30,326,68,False,Angular,1.0,13.92
wagnermaciel,32,https://github.com/wagnermaciel,User,False,2953.0,30.0,30.0,30,17,26,1,False,Angular,1.0,8.09
sreevani-ship-it,32,https://github.com/sreevani-ship-it,User,False,2673.0,30.0,11.0,2,7,11,0,False,Angular,0.36666666666666664,7.32
hawkgs,31,https://github.com/hawkgs,User,False,4294.0,30.0,14.0,26,30,40,139,False,Angular,0.4666666666666667,11.76
wKoza,31,https://github.com/wKoza,User,False,3631.0,30.0,30.0,30,30,30,0,False,Angular,1.0,9.95
andrewseguin,30,https://github.com/andrewseguin,User,False,3044.0,30.0,30.0,30,25,222,29,False,Angular,1.0,8.34
danieltre23,29,https://github.com/danieltre23,User,False,3019.0,30.0,30.0,0,7,1,0,False,Angular,1.0,8.27
tinayuangao,29,https://github.com/tinayuangao,User,False,3126.0,30.0,30.0,30,9,39,2,False,Angular,1.0,8.56
CaerusKaru,28,https://github.com/CaerusKaru,User,False,5257.0,0.0,0.0,0,30,0,5,False,Angular,0.0,14.4
LayZeeDK,27,https://github.com/LayZeeDK,User,False,4056.0,30.0,30.0,30,30,528,14,False,Angular,1.0,11.11
zarend,27,https://github.com/zarend,User,False,3917.0,0.0,0.0,0,28,12,4,False,Angular,0.0,10.73
jessicajaniuk,25,https://github.com/jessicajaniuk,User,False,1588.0,0.0,0.0,0,6,339,12,False,Angular,0.0,4.35
atcastle,24,https://github.com/atcastle,User,False,3831.0,0.0,0.0,0,11,66,4,False,Angular,0.0,10.5
jakemac53,24,https://github.com/jakemac53,User,False,4933.0,0.0,0.0,0,30,187,15,False,Angular,0.0,13.52
alkavats1,23,https://github.com/alkavats1,User,False,1510.0,0.0,0.0,0,30,6,3,False,Angular,0.0,4.14
aanchal88,23,https://github.com/aanchal88,User,False,1510.0,0.0,0.0,0,21,6,0,False,Angular,0.0,4.14
AlexElin,22,https://github.com/AlexElin,User,False,3523.0,0.0,0.0,0,30,2,0,False,Angular,0.0,9.65
ahasall,22,https://github.com/ahasall,User,False,3794.0,30.0,28.0,27,13,131,33,False,Angular,0.9333333333333333,10.39
alfaproject,22,https://github.com/alfaproject,User,False,5828.0,30.0,30.0,30,30,43,22,False,Angular,1.0,15.97
lacolaco,22,https://github.com/lacolaco,User,False,4724.0,30.0,30.0,30,30,665,79,False,Angular,1.0,12.94
vojtajina,21,https://github.com/vojtajina,User,False,5877.0,30.0,30.0,30,30,1181,58,False,Angular,1.0,16.1
swseverance,20,https://github.com/swseverance,User,False,3253.0,30.0,30.0,26,30,10,21,False,Angular,1.0,8.91
ttowncompiled,20,https://github.com/ttowncompiled,User,False,4325.0,30.0,30.0,30,30,39,6,False,Angular,1.0,11.85
vladboisa,20,https://github.com/vladboisa,User,False,1841.0,30.0,30.0,13,30,0,0,False,Angular,1.0,5.04
iRealNirmal,20,https://github.com/iRealNirmal,User,False,4332.0,30.0,10.0,25,26,6,3,False,Angular,0.3333333333333333,11.87
devknoll,20,https://github.com/devknoll,User,False,4738.0,30.0,30.0,30,12,143,284,False,Angular,1.0,12.98
sheikalthaf,18,https://github.com/sheikalthaf,User,False,3062.0,30.0,30.0,30,30,32,7,False,Angular,1.0,8.39
dalejodc,18,https://github.com/dalejodc,User,False,2544.0,0.0,0.0,0,18,46,17,False,Angular,0.0,6.97
danielsogl,18,https://github.com/danielsogl,User,False,3406.0,0.0,0.0,0,30,306,2425,False,Angular,0.0,9.33
kwalrath,17,https://github.com/kwalrath,User,False,4567.0,0.0,0.0,0,30,197,4,False,Angular,0.0,12.51
0x-r4bbit,17,https://github.com/0x-r4bbit,User,False,5234.0,0.0,0.0,0,30,2337,142,False,Angular,0.0,14.34
Ahmed-Hakeem,17,https://github.com/Ahmed-Hakeem,User,False,1734.0,0.0,0.0,8,30,24,25,False,Angular,0.0,4.75
thesmiler,17,https://github.com/thesmiler,User,False,3650.0,23.0,7.0,4,7,9,0,False,Angular,0.30434782608695654,10.0
eneajaho,16,https://github.com/eneajaho,User,False,2942.0,30.0,30.0,30,30,405,89,False,Angular,1.0,8.06
markostanimirovic,16,https://github.com/markostanimirovic,User,False,3259.0,30.0,30.0,30,30,331,270,False,Angular,1.0,8.93
dsnoeijer,15,https://github.com/dsnoeijer,User,False,1291.0,30.0,12.0,0,19,0,0,False,Angular,0.4,3.54
martinsik,14,https://github.com/martinsik,User,False,5429.0,30.0,30.0,30,25,101,258,False,Angular,1.0,14.87
TedSander,14,https://github.com/TedSander,User,False,4148.0,30.0,10.0,30,12,15,0,False,Angular,0.3333333333333333,11.36
Piyush132000,13,https://github.com/Piyush132000,User,False,1606.0,28.0,3.0,0,30,2,0,False,Angular,0.10714285714285714,4.4
bowenni,13,https://github.com/bowenni,User,False,4535.0,30.0,30.0,30,28,17,1,False,Angular,1.0,12.42
ranma42,12,https://github.com/ranma42,User,False,4730.0,30.0,30.0,30,30,45,4,False,Angular,1.0,12.96
alfonso-presa,12,https://github.com/alfonso-presa,User,False,3869.0,30.0,30.0,0,30,30,10,False,Angular,1.0,10.6
GeorgySerga,12,https://github.com/GeorgySerga,User,False,3770.0,0.0,0.0,0,30,7,0,False,Angular,0.0,10.33
Splaktar,12,https://github.com/Splaktar,User,False,4392.0,0.0,0.0,0,30,377,21,False,Angular,0.0,12.03
chalin,12,https://github.com/chalin,User,False,4328.0,0.0,0.0,0,30,166,1,False,Angular,0.0,11.86
goderbauer,11,https://github.com/goderbauer,User,False,4828.0,0.0,0.0,0,30,595,86,False,Angular,0.0,13.23
FrederikSchlemmer,11,https://github.com/FrederikSchlemmer,User,False,2602.0,0.0,0.0,0,11,12,1,False,Angular,0.0,7.13
sbrshkappa,11,https://github.com/sbrshkappa,User,False,4308.0,11.0,4.0,24,30,2,2,False,Angular,0.36363636363636365,11.8
dimakuba,11,https://github.com/dimakuba,User,False,3425.0,30.0,12.0,30,30,6,0,False,Angular,0.4,9.38
