login,contributions,url,type,site_admin,account_age_(days),total_prs_submitted,total_prs_merged,total_issues_opened,total_repositories_contributed_to,followers,stars_received,is_member_of_organization,source_project,approval_rate,contributor_seniority
ragnar123,2,https://github.com/ragnar123,User,False,5623.0,9.0,6.0,1,22,6,9,False,moment,0.6666666666666666,15.41
qzoke,2,https://github.com/qzoke,User,False,3959.0,3.0,0.0,4,30,5,0,False,moment,0.0,10.85
nikoskalogridis,2,https://github.com/nikoskalogridis,User,False,3981.0,30.0,27.0,30,21,23,9,False,moment,0.9,10.91
tyok,2,https://github.com/tyok,User,False,5742.0,19.0,11.0,6,30,42,48,False,moment,0.5789473684210527,15.73
msonsona,2,https://github.com/msonsona,User,False,5433.0,4.0,2.0,6,15,10,1,False,moment,0.5,14.88
wraithgar,2,https://github.com/wraithgar,User,True,5927.0,30.0,30.0,30,30,267,80,False,moment,1.0,16.24
miestasmia,2,https://github.com/miestasmia,User,False,4032.0,15.0,11.0,6,14,33,23,False,moment,0.7333333333333333,11.05
MhMadHamster,2,https://github.com/MhMadHamster,User,False,4332.0,20.0,15.0,26,30,12,0,False,moment,0.75,11.87
mattiasrunge,2,https://github.com/mattiasrunge,User,False,4729.0,30.0,30.0,30,30,14,26,False,moment,1.0,12.96
nostalgiaz,2,https://github.com/nostalgiaz,User,False,4848.0,30.0,20.0,17,30,218,620,False,moment,0.6666666666666666,13.28
marlonmleite,2,https://github.com/marlonmleite,User,False,3827.0,30.0,30.0,30,30,27,9,False,moment,1.0,10.48
markstos,2,https://github.com/markstos,User,False,5990.0,30.0,30.0,30,30,166,1,False,moment,1.0,16.41
MadMG,2,https://github.com/MadMG,User,False,4121.0,11.0,11.0,2,20,6,63,False,moment,1.0,11.29
lukemcgregor,2,https://github.com/lukemcgregor,User,False,4802.0,30.0,30.0,30,30,41,30,False,moment,1.0,13.16
lluchs,2,https://github.com/lluchs,User,False,5183.0,30.0,30.0,30,30,41,42,False,moment,1.0,14.2
butterflyhug,2,https://github.com/butterflyhug,User,False,5385.0,28.0,18.0,22,7,49,8,False,moment,0.6428571428571429,14.75
ericsaboia,2,https://github.com/ericsaboia,User,False,5121.0,25.0,17.0,14,30,37,45,False,moment,0.68,14.03
fadsel,2,https://github.com/fadsel,User,False,4271.0,30.0,30.0,12,30,17,7,False,moment,1.0,11.7
hupfis,2,https://github.com/hupfis,User,False,5690.0,30.0,22.0,4,7,16,0,False,moment,0.7333333333333333,15.59
BYK,2,https://github.com/BYK,User,False,5634.0,30.0,30.0,30,30,1639,136,False,moment,1.0,15.44
afanasy,2,https://github.com/afanasy,User,False,5084.0,30.0,30.0,30,30,41,7,False,moment,1.0,13.93
ShaishavGandhi,2,https://github.com/ShaishavGandhi,User,False,4556.0,30.0,30.0,30,30,202,14,False,moment,1.0,12.48
ryangreaves,2,https://github.com/ryangreaves,User,False,4058.0,2.0,0.0,0,2,0,0,False,moment,0.0,11.12
paladox,2,https://github.com/paladox,User,False,4138.0,30.0,30.0,30,30,43,14,False,moment,1.0,11.34
marijaselakovic,2,https://github.com/marijaselakovic,User,False,3896.0,30.0,25.0,6,10,9,162,False,moment,0.8333333333333334,10.67
JanisE,2,https://github.com/JanisE,User,False,4741.0,30.0,16.0,30,30,12,3,False,moment,0.5333333333333333,12.99
humbletim,2,https://github.com/humbletim,User,False,5728.0,30.0,30.0,15,30,52,184,False,moment,1.0,15.69
harpreetkhalsagtbit,2,https://github.com/harpreetkhalsagtbit,User,False,4457.0,30.0,30.0,30,30,32,304,False,moment,1.0,12.21
aleafs,2,https://github.com/aleafs,User,False,5168.0,30.0,25.0,29,25,237,370,False,moment,0.8333333333333334,14.16
zhantongz,2,https://github.com/zhantongz,User,False,4488.0,4.0,1.0,11,10,10,2,False,moment,0.25,12.3
borodean,2,https://github.com/borodean,User,False,4723.0,30.0,30.0,30,22,39,583,False,moment,1.0,12.94
tomvlk,2,https://github.com/tomvlk,User,False,4356.0,30.0,30.0,30,30,41,13,False,moment,1.0,11.93
Timrael,2,https://github.com/Timrael,User,False,5111.0,13.0,10.0,15,18,27,332,False,moment,0.7692307692307693,14.0
ovangle,2,https://github.com/ovangle,User,False,4911.0,30.0,29.0,30,30,12,10,False,moment,0.9666666666666667,13.45
StoyanDimitrov,2,https://github.com/StoyanDimitrov,User,False,3658.0,30.0,30.0,30,8,27,8,False,moment,1.0,10.02
skastel,2,https://github.com/skastel,User,False,5833.0,17.0,11.0,2,7,34,0,False,moment,0.6470588235294118,15.98
monoblaine,2,https://github.com/monoblaine,User,False,5162.0,30.0,21.0,30,30,9,8,False,moment,0.7,14.14
sereysethy,2,https://github.com/sereysethy,User,False,3527.0,16.0,7.0,30,23,5,2,False,moment,0.4375,9.66
colus001,2,https://github.com/colus001,User,False,4472.0,30.0,30.0,30,30,114,15,False,moment,1.0,12.25
lvn,2,https://github.com/lvn,User,False,3982.0,20.0,15.0,4,30,77,58,False,moment,0.75,10.91
ebraminio,2,https://github.com/ebraminio,User,False,5004.0,30.0,30.0,30,30,536,202,False,moment,1.0,13.71
shabanovd,2,https://github.com/shabanovd,User,False,5673.0,30.0,30.0,21,30,32,27,False,moment,1.0,15.54
rentalhost,2,https://github.com/rentalhost,User,False,5253.0,30.0,30.0,30,30,21,31,False,moment,1.0,14.39
david-reiman-ck,2,https://github.com/david-reiman-ck,User,False,2818.0,0.0,0.0,0,0,0,0,False,moment,0.0,7.72
david-driscoll,2,https://github.com/david-driscoll,User,False,4810.0,30.0,30.0,30,30,220,28,False,moment,1.0,13.18
danielgindi,2,https://github.com/danielgindi,User,False,5297.0,30.0,30.0,30,30,1436,251,False,moment,1.0,14.51
dazld,2,https://github.com/dazld,User,False,5485.0,30.0,30.0,30,30,114,65,False,moment,1.0,15.03
clairecoloma,2,https://github.com/clairecoloma,User,False,4447.0,25.0,21.0,2,20,27,0,False,moment,0.84,12.18
chbrown,2,https://github.com/chbrown,User,False,5303.0,30.0,30.0,30,30,165,108,False,moment,1.0,14.53
hehachris,2,https://github.com/hehachris,User,False,4560.0,0.0,0.0,0,17,0,8,False,moment,0.0,12.49
chriscartlidge,2,https://github.com/chriscartlidge,User,False,4806.0,24.0,21.0,12,26,3,1,False,moment,0.875,13.17
aijo,2,https://github.com/aijo,User,False,5271.0,2.0,0.0,0,14,15,2,False,moment,0.0,14.44
cassmtnr,2,https://github.com/cassmtnr,User,False,3552.0,30.0,20.0,30,5,34,0,False,moment,0.6666666666666666,9.73
caio-ribeiro-pereira,2,https://github.com/caio-ribeiro-pereira,User,False,5154.0,30.0,30.0,30,30,900,466,False,moment,1.0,14.12
schempy,2,https://github.com/schempy,User,False,4476.0,30.0,10.0,15,25,9,186,False,moment,0.3333333333333333,12.26
bmarkovic,2,https://github.com/bmarkovic,User,False,5217.0,12.0,9.0,30,30,7,3,False,moment,0.75,14.29
amire80,2,https://github.com/amire80,User,False,5317.0,30.0,30.0,30,30,79,15,False,moment,1.0,14.57
mehiel,2,https://github.com/mehiel,User,False,5078.0,21.0,11.0,17,30,20,8,False,moment,0.5238095238095238,13.91
askpt,2,https://github.com/askpt,User,False,4517.0,30.0,30.0,30,27,35,14,False,moment,1.0,12.38
azrijamil,2,https://github.com/azrijamil,User,False,2504.0,0.0,0.0,3,1,0,0,False,moment,0.0,6.86
sirn,2,https://github.com/sirn,User,False,6169.0,30.0,30.0,30,30,108,182,False,moment,1.0,16.9
vovikhangcdv,2,https://github.com/vovikhangcdv,User,False,2272.0,30.0,26.0,27,30,31,5,False,moment,0.8666666666666667,6.22
lashad,2,https://github.com/lashad,User,False,5640.0,3.0,1.0,1,9,22,17,False,moment,0.3333333333333333,15.45
kafiln,2,https://github.com/kafiln,User,False,3386.0,30.0,30.0,30,30,82,12,False,moment,1.0,9.28
juanghurtado,2,https://github.com/juanghurtado,User,False,6162.0,30.0,27.0,30,30,49,31,False,moment,0.9,16.88
joshbrooks,2,https://github.com/joshbrooks,User,False,4298.0,30.0,30.0,30,30,4,1,False,moment,1.0,11.78
jordaaash,2,https://github.com/jordaaash,User,False,4853.0,30.0,30.0,30,30,554,33,False,moment,1.0,13.3
jvanoostveen,2,https://github.com/jvanoostveen,User,False,5428.0,28.0,20.0,30,27,17,18,False,moment,0.7142857142857143,14.87
ulmus,2,https://github.com/ulmus,User,False,5210.0,26.0,16.0,25,30,12,27,False,moment,0.6153846153846154,14.27
NobodysNightmare,2,https://github.com/NobodysNightmare,User,False,5228.0,30.0,30.0,30,30,21,8,False,moment,1.0,14.32
jdudek,2,https://github.com/jdudek,User,False,5501.0,30.0,22.0,23,30,39,40,False,moment,0.7333333333333333,15.07
jeverington,2,https://github.com/jeverington,User,False,4597.0,6.0,4.0,9,9,3,0,False,moment,0.6666666666666666,12.59
szwacz,2,https://github.com/szwacz,User,False,4280.0,29.0,24.0,30,7,175,4185,False,moment,0.8275862068965517,11.73
wejendorp,2,https://github.com/wejendorp,User,False,5371.0,30.0,30.0,19,30,37,38,False,moment,1.0,14.72
middagj,2,https://github.com/middagj,User,False,5563.0,30.0,30.0,10,6,21,11,False,moment,1.0,15.24
IrakliJani,2,https://github.com/IrakliJani,User,False,4944.0,30.0,30.0,30,23,109,39,False,moment,1.0,13.55
HyunSangHan,2,https://github.com/HyunSangHan,User,False,2317.0,30.0,30.0,30,30,37,25,False,moment,1.0,6.35
gido,2,https://github.com/gido,User,False,5705.0,30.0,30.0,30,30,97,8,False,moment,1.0,15.63
thorn0,2,https://github.com/thorn0,User,False,5729.0,30.0,30.0,30,30,84,111,False,moment,1.0,15.7
erik-krogh,2,https://github.com/erik-krogh,User,True,1990.0,30.0,30.0,3,30,78,0,False,moment,1.0,5.45
G1NA,2,https://github.com/G1NA,User,False,3624.0,0.0,0.0,0,5,4,0,False,moment,0.0,9.93
rexxars,2,https://github.com/rexxars,User,False,5870.0,30.0,30.0,30,30,619,177,False,moment,1.0,16.08
attritionorg,1,https://github.com/attritionorg,User,False,4440.0,30.0,30.0,30,7,70,4,False,moment,1.0,12.16
javkhaanj7,1,https://github.com/javkhaanj7,User,False,4365.0,12.0,12.0,2,20,25,1,False,moment,1.0,11.96
jasperSpeicher,1,https://github.com/jasperSpeicher,User,False,4959.0,30.0,30.0,25,20,7,1,False,moment,1.0,13.59
jarcoal,1,https://github.com/jarcoal,User,False,5246.0,30.0,30.0,30,30,46,141,False,moment,1.0,14.37
vaicine,1,https://github.com/vaicine,User,False,5870.0,0.0,0.0,0,30,0,2,False,moment,0.0,16.08
jguc,1,https://github.com/jguc,User,False,3715.0,3.0,3.0,0,3,1,3,False,moment,1.0,10.18
IronGeek,1,https://github.com/IronGeek,User,False,4769.0,14.0,11.0,24,30,1,30,False,moment,0.7857142857142857,13.07
jcfranco,1,https://github.com/jcfranco,User,False,5490.0,30.0,30.0,30,30,162,45,False,moment,1.0,15.04
jfarid27,1,https://github.com/jfarid27,User,False,4681.0,30.0,30.0,30,30,20,7,False,moment,1.0,12.82
ikr,1,https://github.com/ikr,User,False,5843.0,30.0,30.0,30,30,40,34,False,moment,1.0,16.01
JimiHFord,1,https://github.com/JimiHFord,User,False,4622.0,30.0,30.0,21,30,35,0,False,moment,1.0,12.66
joefreeman,1,https://github.com/joefreeman,User,False,5168.0,30.0,30.0,9,30,10,51,False,moment,1.0,14.16
jgillman,1,https://github.com/jgillman,User,False,5531.0,30.0,30.0,30,29,34,78,False,moment,1.0,15.15
johanneswuerbach,1,https://github.com/johanneswuerbach,User,False,4989.0,30.0,30.0,30,30,115,59,False,moment,1.0,13.67
JohnAnthony,1,https://github.com/JohnAnthony,User,False,5241.0,18.0,12.0,8,30,159,32,False,moment,0.6666666666666666,14.36
johncrisostomo,1,https://github.com/johncrisostomo,User,False,5427.0,8.0,6.0,3,30,78,15,False,moment,0.75,14.87
jfroffice,1,https://github.com/jfroffice,User,False,4942.0,12.0,8.0,30,30,41,31,False,moment,0.6666666666666666,13.54
jonashdown,1,https://github.com/jonashdown,User,False,4143.0,30.0,30.0,28,28,9,1,False,moment,1.0,11.35
97jaz,1,https://github.com/97jaz,User,False,4932.0,30.0,30.0,30,30,11,86,False,moment,1.0,13.51
vanillajonathan,1,https://github.com/vanillajonathan,User,False,3714.0,30.0,30.0,30,30,50,2,False,moment,1.0,10.18
jonathathan,1,https://github.com/jonathathan,User,False,3977.0,10.0,4.0,6,12,27,1,False,moment,0.4,10.9
jgerigmeyer,1,https://github.com/jgerigmeyer,User,False,5154.0,30.0,30.0,30,30,76,164,False,moment,1.0,14.12
GabrielHedges,1,https://github.com/GabrielHedges,User,False,4191.0,2.0,2.0,0,3,1,0,False,moment,1.0,11.48
gabrielmaldi,1,https://github.com/gabrielmaldi,User,False,4371.0,30.0,21.0,30,30,8,35,False,moment,0.7,11.98
gaplo917,1,https://github.com/gaplo917,User,False,4171.0,25.0,21.0,30,30,128,46,False,moment,0.84,11.43
gaspard,1,https://github.com/gaspard,User,False,6021.0,30.0,30.0,30,30,41,1,False,moment,1.0,16.5
gre,1,https://github.com/gre,User,False,5469.0,30.0,30.0,30,30,1903,2307,False,moment,1.0,14.98
pgilad,1,https://github.com/pgilad,User,False,4284.0,30.0,30.0,30,30,119,144,False,moment,1.0,11.74
gillyb,1,https://github.com/gillyb,User,False,4786.0,30.0,30.0,30,30,34,31,False,moment,1.0,13.11
glenjamin,1,https://github.com/glenjamin,User,False,5577.0,30.0,30.0,30,30,321,36,False,moment,1.0,15.28
mgorabbani,1,https://github.com/mgorabbani,User,False,3533.0,30.0,30.0,10,30,50,1,False,moment,1.0,9.68
gr2m,1,https://github.com/gr2m,User,True,5910.0,30.0,30.0,30,30,1563,684,False,moment,1.0,16.19
greysteil,1,https://github.com/greysteil,User,False,4866.0,30.0,30.0,30,11,384,15,False,moment,1.0,13.33
gregpabian,1,https://github.com/gregpabian,User,False,4003.0,17.0,12.0,30,30,13,40,False,moment,0.7058823529411765,10.97
Darkaiser0,1,https://github.com/Darkaiser0,User,False,2525.0,11.0,7.0,1,10,1,0,False,moment,0.6363636363636364,6.92
MasseGuillaume,1,https://github.com/MasseGuillaume,User,False,4963.0,30.0,30.0,30,30,155,7,False,moment,1.0,13.6
tgxworld,1,https://github.com/tgxworld,User,False,4306.0,30.0,30.0,30,30,193,4,False,moment,1.0,11.8
madhenry,1,https://github.com/madhenry,User,False,5243.0,6.0,5.0,4,22,14,23,False,moment,0.8333333333333334,14.36
hinrik,1,https://github.com/hinrik,User,False,5891.0,30.0,30.0,30,30,66,52,False,moment,1.0,16.14
wadahiro,1,https://github.com/wadahiro,User,False,5970.0,30.0,30.0,30,30,48,22,False,moment,1.0,16.36
horus68,1,https://github.com/horus68,User,False,4445.0,30.0,30.0,30,20,14,2,False,moment,1.0,12.18
hsablonniere,1,https://github.com/hsablonniere,User,False,5433.0,30.0,30.0,30,30,215,122,False,moment,1.0,14.88
igorlima,1,https://github.com/igorlima,User,False,4620.0,30.0,30.0,30,30,106,4,False,moment,1.0,12.66
ragulka,1,https://github.com/ragulka,User,False,5130.0,30.0,30.0,30,30,49,0,False,moment,1.0,14.05
cherouvim,1,https://github.com/cherouvim,User,False,5050.0,30.0,30.0,30,30,77,1,False,moment,1.0,13.84
jllahi,1,https://github.com/jllahi,User,False,4750.0,2.0,2.0,0,30,3,14,False,moment,1.0,13.01
ksnabb,1,https://github.com/ksnabb,User,False,5390.0,30.0,30.0,30,30,38,33,False,moment,1.0,14.77
kumarharsh,1,https://github.com/kumarharsh,User,False,5041.0,30.0,30.0,30,30,88,57,False,moment,1.0,13.81
kepta,1,https://github.com/kepta,User,False,3990.0,0.0,0.0,0,30,0,77,False,moment,0.0,10.93
liorcode,1,https://github.com/liorcode,User,False,4597.0,30.0,20.0,30,30,3,0,False,moment,0.6666666666666666,12.59
theboolean,1,https://github.com/theboolean,User,False,4876.0,30.0,30.0,21,30,22,0,False,moment,1.0,13.36
zenlor,1,https://github.com/zenlor,User,False,5917.0,30.0,30.0,29,30,48,30,False,moment,1.0,16.21
lucaong,1,https://github.com/lucaong,User,False,5449.0,30.0,30.0,30,30,284,1777,False,moment,1.0,14.93
mohan-mu,1,https://github.com/mohan-mu,User,False,3120.0,12.0,7.0,15,30,13,0,False,moment,0.5833333333333334,8.55
0xMANFRE,1,https://github.com/0xMANFRE,User,False,3218.0,13.0,10.0,3,1,4,0,False,moment,0.7692307692307693,8.82
marcoil,1,https://github.com/marcoil,User,False,4675.0,14.0,9.0,10,15,0,15,False,moment,0.6428571428571429,12.81
mperrando,1,https://github.com/mperrando,User,False,5176.0,30.0,30.0,8,30,7,4,False,moment,1.0,14.18
mcs,1,https://github.com/mcs,User,False,5945.0,30.0,27.0,6,29,19,10,False,moment,0.9,16.29
brgrz,1,https://github.com/brgrz,User,False,5494.0,30.0,12.0,30,16,4,0,False,moment,0.4,15.05
mercutiodesign,1,https://github.com/mercutiodesign,User,False,4879.0,30.0,30.0,14,30,9,3,False,moment,1.0,13.37
Frost,1,https://github.com/Frost,User,False,6192.0,30.0,30.0,30,30,71,32,False,moment,1.0,16.96
martinmcwhorter,1,https://github.com/martinmcwhorter,User,False,4843.0,30.0,20.0,30,30,7,53,False,moment,0.6666666666666666,13.27
k2s,1,https://github.com/k2s,User,False,5513.0,30.0,30.0,30,30,18,7,False,moment,1.0,15.1
martoche,1,https://github.com/martoche,User,False,5913.0,20.0,13.0,13,8,57,11,False,moment,0.65,16.2
mathiasrw,1,https://github.com/mathiasrw,User,False,4898.0,30.0,30.0,30,30,96,8,False,moment,1.0,13.42
deleteme,1,https://github.com/deleteme,User,False,6131.0,24.0,14.0,30,30,44,24,False,moment,0.5833333333333334,16.8
kaypro4,1,https://github.com/kaypro4,User,False,4036.0,21.0,13.0,22,30,8,0,False,moment,0.6190476190476191,11.06
matthewcm,1,https://github.com/matthewcm,User,False,3491.0,30.0,30.0,30,30,7,1,False,moment,1.0,9.56
matthewdeeco,1,https://github.com/matthewdeeco,User,False,4616.0,4.0,2.0,0,23,1,1,False,moment,0.5,12.65
Seldaek,1,https://github.com/Seldaek,User,False,5510.0,30.0,30.0,30,30,4579,286,False,moment,1.0,15.1
jorrit,1,https://github.com/jorrit,User,False,5179.0,30.0,30.0,30,30,22,1,False,moment,1.0,14.19
jnelssonsmith,1,https://github.com/jnelssonsmith,User,False,3563.0,18.0,14.0,4,24,39,15,False,moment,0.7777777777777778,9.76
jsoref,1,https://github.com/jsoref,User,False,4575.0,30.0,30.0,30,30,575,26,False,moment,1.0,12.53
juareznasato,1,https://github.com/juareznasato,User,False,3573.0,1.0,1.0,0,6,4,73,False,moment,1.0,9.79
JunhoKim01,1,https://github.com/JunhoKim01,User,False,3620.0,1.0,0.0,3,15,4,1,False,moment,0.0,9.92
jwarkentin,1,https://github.com/jwarkentin,User,False,4891.0,30.0,7.0,30,25,9,149,False,moment,0.23333333333333334,13.4
jonoskar,1,https://github.com/jonoskar,User,False,4919.0,3.0,2.0,0,9,0,0,False,moment,0.6666666666666666,13.48
eximius313,1,https://github.com/eximius313,User,False,4157.0,30.0,30.0,30,27,4,3,False,moment,1.0,11.39
Karamell,1,https://github.com/Karamell,User,False,4646.0,20.0,14.0,19,14,9,19,False,moment,0.7,12.73
Kartik18g,1,https://github.com/Kartik18g,User,False,1623.0,30.0,30.0,18,30,233,23,False,moment,1.0,4.45
kartikm,1,https://github.com/kartikm,User,False,5549.0,30.0,30.0,30,30,171,14,False,moment,1.0,15.2
Kaushik1987,1,https://github.com/Kaushik1987,User,False,3593.0,3.0,1.0,13,30,0,0,False,moment,0.3333333333333333,9.84
keheliya,1,https://github.com/keheliya,User,False,5512.0,30.0,30.0,30,30,35,21,False,moment,1.0,15.1
leafrogers,1,https://github.com/leafrogers,User,False,5580.0,30.0,30.0,11,30,22,9,False,moment,1.0,15.29
kevinji,1,https://github.com/kevinji,User,False,4865.0,30.0,30.0,30,22,65,15,False,moment,1.0,13.33
kperry42,1,https://github.com/kperry42,User,False,4933.0,6.0,5.0,9,7,0,0,False,moment,0.8333333333333334,13.52
xizhao,1,https://github.com/xizhao,User,False,4584.0,30.0,30.0,30,30,56,0,False,moment,1.0,12.56
kiliancs,1,https://github.com/kiliancs,User,False,5715.0,23.0,15.0,21,30,16,3,False,moment,0.6521739130434783,15.66
jrgensen,1,https://github.com/jrgensen,User,False,5261.0,8.0,7.0,7,21,10,3,False,moment,0.875,14.41
Klemensas,1,https://github.com/Klemensas,User,False,3784.0,30.0,30.0,30,30,3,43,False,moment,1.0,10.37
tsareg,1,https://github.com/tsareg,User,False,4855.0,30.0,30.0,14,21,3,2,False,moment,1.0,13.3
sakarisson,1,https://github.com/sakarisson,User,False,3434.0,30.0,30.0,18,30,9,1,False,moment,1.0,9.41
ayhaadam,1,https://github.com/ayhaadam,User,False,4441.0,3.0,2.0,4,16,3,0,False,moment,0.6666666666666666,12.17
anthonyshort,1,https://github.com/anthonyshort,User,False,5929.0,30.0,30.0,30,30,519,225,False,moment,1.0,16.24
allaud,1,https://github.com/allaud,User,False,5300.0,8.0,4.0,21,30,26,339,False,moment,0.5,14.52
tk120404,1,https://github.com/tk120404,User,False,4842.0,30.0,30.0,22,30,68,22,False,moment,1.0,13.27
tetranoir,1,https://github.com/tetranoir,User,False,4481.0,17.0,13.0,4,30,10,11,False,moment,0.7647058823529411,12.28
alfaslash,1,https://github.com/alfaslash,User,False,4026.0,22.0,19.0,5,30,20,37,False,moment,0.8636363636363636,11.03
yayudev,1,https://github.com/yayudev,User,False,3986.0,30.0,30.0,3,30,14,12,False,moment,1.0,10.92
asraf-patoary,1,https://github.com/asraf-patoary,User,False,3212.0,10.0,9.0,0,30,9,21,False,moment,0.9,8.8
aaabdyrahmanov,1,https://github.com/aaabdyrahmanov,User,False,2046.0,13.0,10.0,1,16,43,17,False,moment,0.7692307692307693,5.61
realbisoye,1,https://github.com/realbisoye,User,False,3547.0,30.0,30.0,8,30,20,1,False,moment,1.0,9.72
bgpat,1,https://github.com/bgpat,User,False,4099.0,30.0,30.0,30,30,54,7,False,moment,1.0,11.23
austentalbot,1,https://github.com/austentalbot,User,False,4378.0,30.0,25.0,0,30,67,2,False,moment,0.8333333333333334,11.99
baptistedeleplace,1,https://github.com/baptistedeleplace,User,False,5035.0,4.0,3.0,1,11,8,1,False,moment,0.75,13.79
baribadamshin,1,https://github.com/baribadamshin,User,False,5210.0,12.0,8.0,11,18,2,10,False,moment,0.6666666666666666,14.27
NTag,1,https://github.com/NTag,User,False,4970.0,30.0,30.0,30,30,244,404,False,moment,1.0,13.62
billschaller,1,https://github.com/billschaller,User,False,4314.0,30.0,30.0,30,30,32,199,False,moment,1.0,11.82
blakeembrey,1,https://github.com/blakeembrey,User,False,4889.0,30.0,30.0,30,30,1844,6961,False,moment,1.0,13.39
BobZombie,1,https://github.com/BobZombie,User,False,5203.0,16.0,8.0,3,13,3,1,False,moment,0.5,14.25
braddunbar,1,https://github.com/braddunbar,User,False,6109.0,30.0,30.0,30,17,231,6,False,moment,1.0,16.74
nono,1,https://github.com/nono,User,False,6187.0,30.0,30.0,30,30,311,30,False,moment,1.0,16.95
CJDennis,1,https://github.com/CJDennis,User,False,4717.0,29.0,12.0,30,30,0,0,False,moment,0.41379310344827586,12.92
CaioSR,1,https://github.com/CaioSR,User,False,2900.0,30.0,26.0,4,11,5,3,False,moment,0.8666666666666667,7.95
camjc,1,https://github.com/camjc,User,False,4321.0,30.0,30.0,30,30,25,33,False,moment,1.0,11.84
carlmrichter,1,https://github.com/carlmrichter,User,False,3111.0,17.0,15.0,5,4,7,1,False,moment,0.8823529411764706,8.52
Ahmed,1,https://github.com/Ahmed,User,False,5165.0,5.0,2.0,10,21,46,20,False,moment,0.4,14.15
alan-agius4,1,https://github.com/alan-agius4,User,False,3274.0,30.0,30.0,30,30,587,7,False,moment,1.0,8.97
raleksandar,1,https://github.com/raleksandar,User,False,5944.0,13.0,9.0,9,24,32,18,False,moment,0.6923076923076923,16.28
adelgado,1,https://github.com/adelgado,User,False,5040.0,30.0,30.0,30,30,26,13,False,moment,1.0,13.81
difelice,1,https://github.com/difelice,User,False,4428.0,30.0,30.0,30,30,3,168,False,moment,1.0,12.13
alesma,1,https://github.com/alesma,User,False,5219.0,7.0,6.0,4,10,7,2,False,moment,0.8571428571428571,14.3
ghiculescu,1,https://github.com/ghiculescu,User,False,5187.0,30.0,30.0,30,30,133,0,False,moment,1.0,14.21
alexthemitchell,1,https://github.com/alexthemitchell,User,False,4142.0,30.0,30.0,30,30,31,12,False,moment,1.0,11.35
Alex-Werner,1,https://github.com/Alex-Werner,User,False,4122.0,30.0,30.0,30,30,131,8,False,moment,1.0,11.29
AlexJeng,1,https://github.com/AlexJeng,User,False,4293.0,30.0,27.0,5,30,85,0,False,moment,0.9,11.76
boyaq,1,https://github.com/boyaq,User,False,5102.0,18.0,12.0,10,4,35,125,False,moment,0.6666666666666666,13.98
Amine27,1,https://github.com/Amine27,User,False,3626.0,7.0,5.0,8,20,20,21,False,moment,0.7142857142857143,9.93
emiraslan,1,https://github.com/emiraslan,User,False,3241.0,4.0,3.0,5,16,26,2,False,moment,0.75,8.88
anandfresh,1,https://github.com/anandfresh,User,False,2258.0,30.0,30.0,1,23,7,1,False,moment,1.0,6.19
heiglandreas,1,https://github.com/heiglandreas,User,False,5736.0,30.0,30.0,30,30,230,81,False,moment,1.0,15.72
dakujem,1,https://github.com/dakujem,User,False,5236.0,30.0,30.0,30,30,15,13,False,moment,1.0,14.35
mjomble,1,https://github.com/mjomble,User,False,4560.0,30.0,30.0,30,30,9,0,False,moment,1.0,12.49
andrewhood125,1,https://github.com/andrewhood125,User,False,4696.0,30.0,30.0,30,30,133,20,False,moment,1.0,12.87
atscott,1,https://github.com/atscott,User,False,5209.0,30.0,30.0,30,30,197,0,False,moment,1.0,14.27
moll,1,https://github.com/moll,User,False,5564.0,23.0,16.0,30,30,133,319,False,moment,0.6956521739130435,15.24
Neob91,1,https://github.com/Neob91,User,False,4080.0,24.0,17.0,13,30,11,1,False,moment,0.7083333333333334,11.18
aniruddha-adhikary,1,https://github.com/aniruddha-adhikary,User,False,4958.0,30.0,30.0,30,30,1041,405,False,moment,1.0,13.58
anthonylau,1,https://github.com/anthonylau,User,False,4301.0,18.0,7.0,30,30,27,7,False,moment,0.3888888888888889,11.78
gholadr,1,https://github.com/gholadr,User,False,4338.0,30.0,30.0,30,30,15,2,False,moment,1.0,11.88
jayarjo,1,https://github.com/jayarjo,User,False,5580.0,30.0,30.0,30,30,119,1,False,moment,1.0,15.29
dennisgl,1,https://github.com/dennisgl,User,False,5993.0,30.0,30.0,20,30,48,5,False,moment,1.0,16.42
DiegoBousfield,1,https://github.com/DiegoBousfield,User,False,3540.0,16.0,14.0,0,30,17,0,False,moment,0.875,9.7
dusansimic,1,https://github.com/dusansimic,User,False,3549.0,30.0,30.0,30,30,129,5,False,moment,1.0,9.72
anotheredward,1,https://github.com/anotheredward,User,False,5444.0,30.0,30.0,21,30,16,2,False,moment,1.0,14.92
eduPHP,1,https://github.com/eduPHP,User,False,3579.0,11.0,7.0,5,30,27,7,False,moment,0.6363636363636364,9.81
eliedrian,1,https://github.com/eliedrian,User,False,4179.0,24.0,20.0,16,5,14,1,False,moment,0.8333333333333334,11.45
grexican,1,https://github.com/grexican,User,False,5787.0,17.0,9.0,11,24,7,9,False,moment,0.5294117647058824,15.85
elliotf,1,https://github.com/elliotf,User,False,6013.0,30.0,30.0,30,30,46,35,False,moment,1.0,16.47
kroo,1,https://github.com/kroo,User,False,5640.0,12.0,7.0,8,27,44,433,False,moment,0.5833333333333334,15.45
cepem,1,https://github.com/cepem,User,False,1891.0,3.0,2.0,4,5,6,8,False,moment,0.6666666666666666,5.18
eillarra,1,https://github.com/eillarra,User,False,5184.0,30.0,23.0,23,14,25,10,False,moment,0.7666666666666667,14.2
