pr_number,lines_added,lines_deleted,comments,review_comments,avg_review_comments,state,merged,accepted
25937,2,0,8,0,0.0,closed,False,False
25936,1,0,0,0,0.0,closed,False,False
25935,5,0,2,0,0.0,closed,False,False
25934,1,0,0,0,0.0,closed,False,False
25933,1,0,0,0,0.0,closed,True,True
25931,1,0,0,0,0.0,closed,False,False
25930,4,1,0,0,0.0,closed,False,False
25929,4,0,1,0,0.0,closed,True,True
25928,2,0,0,0,0.0,closed,True,True
25927,1,0,2,0,0.0,closed,False,False
25926,1,1,64,0,0.0,closed,False,False
25925,1,0,1,0,0.0,closed,True,True
25924,50,0,1,0,0.0,closed,True,True
25923,1,0,3,0,0.0,closed,True,True
25922,1,0,0,0,0.0,closed,True,True
25921,1,1,12,0,0.0,closed,True,True
25919,2,1,0,0,0.0,closed,False,False
25918,2,0,1,0,0.0,closed,False,False
25917,1,0,0,0,0.0,closed,True,True
25916,2,1,0,0,0.0,closed,False,False
25915,1,0,1,0,0.0,closed,True,True
25914,1,1,0,1,1.0,closed,True,True
25913,2,0,4,0,0.0,closed,True,True
25912,2,0,1,0,0.0,closed,False,False
25911,2,1,1,0,0.0,closed,False,False
25910,1,0,1,0,0.0,closed,False,False
25909,1,0,0,0,0.0,closed,True,True
25908,1,0,0,0,0.0,closed,True,True
25907,1,0,0,0,0.0,closed,False,False
25906,1,0,0,0,0.0,closed,True,True
25905,0,0,0,0,0.0,closed,False,False
25904,21,7,0,0,0.0,closed,True,True
25903,3,0,4,0,0.0,closed,True,True
25902,2,2,0,0,0.0,closed,True,True
25901,1,0,0,0,0.0,closed,False,False
25900,1,0,0,0,0.0,closed,False,False
25899,2,0,0,0,0.0,closed,False,False
25898,1,1,2,0,0.0,closed,False,False
25897,5,4,0,0,0.0,closed,False,False
25896,1,0,3,0,0.0,closed,True,True
25895,2,1,1,0,0.0,closed,False,False
25894,1,0,0,0,0.0,closed,True,True
25893,2,0,11,0,0.0,closed,True,True
25892,4,4,2,0,0.0,closed,True,True
25891,1,1,0,0,0.0,closed,True,True
25890,1,0,1,0,0.0,closed,False,False
25889,1,0,0,0,0.0,closed,True,True
25888,2,0,0,0,0.0,closed,False,False
25887,6,2,0,0,0.0,closed,False,False
25886,1,0,0,0,0.0,closed,False,False
25885,6,2,1,0,0.0,closed,False,False
25884,3,0,0,0,0.0,closed,False,False
25883,1,0,0,0,0.0,closed,True,True
25882,12,2,0,0,0.0,closed,True,True
25881,6,1,0,0,0.0,closed,True,True
25880,1,0,8,0,0.0,closed,True,True
25879,1,0,1,0,0.0,closed,False,False
25878,2,1,0,0,0.0,closed,True,True
25877,1,0,0,0,0.0,closed,False,False
25876,10,10,0,0,0.0,closed,False,False
25875,3,0,7,0,0.0,closed,True,True
25874,1,0,0,0,0.0,closed,True,True
25872,0,0,0,0,0.0,closed,True,True
25871,1,0,58,0,0.0,closed,False,False
25870,0,0,0,0,0.0,closed,False,False
25869,2,1,4,0,0.0,closed,True,True
25868,11,1,6,0,0.0,closed,True,True
25867,1,1,0,0,0.0,closed,False,False
25866,1,0,0,0,0.0,closed,False,False
25865,1,0,4,0,0.0,closed,True,True
25864,1,0,0,0,0.0,closed,False,False
25863,1,0,0,0,0.0,closed,False,False
25862,1,1,2,0,0.0,closed,False,False
25861,3,0,0,0,0.0,closed,True,True
25860,1,0,1,0,0.0,closed,False,False
25859,1,0,2,0,0.0,closed,True,True
25858,1,0,3,0,0.0,closed,False,False
25857,0,0,0,0,0.0,closed,False,False
25856,1,0,1,0,0.0,closed,True,True
25855,1,1,0,0,0.0,closed,True,True
25854,0,1,0,0,0.0,closed,True,True
25853,1,0,0,0,0.0,closed,True,True
25852,1,2,1,0,0.0,closed,True,True
25851,1,0,1,0,0.0,closed,True,True
25850,1,0,7,0,0.0,closed,True,True
25849,0,0,0,0,0.0,closed,False,False
25848,1,0,0,0,0.0,closed,True,True
25847,9,6,1,0,0.0,closed,True,True
25846,1,0,1,0,0.0,closed,True,True
25845,1,1,0,0,0.0,closed,True,True
25844,1,0,0,0,0.0,closed,True,True
25843,17,17,0,0,0.0,closed,True,True
25842,10,8,0,0,0.0,closed,True,True
25841,0,0,11,0,0.0,closed,True,True
25840,1,2,0,0,0.0,closed,True,True
25839,3,2,0,0,0.0,closed,True,True
25838,9,1,4,0,0.0,closed,True,True
25837,1,1,100,0,0.0,closed,False,False
25836,2,1,4,0,0.0,closed,True,True
25835,2,1,0,0,0.0,closed,False,False
25834,57,0,7,0,0.0,closed,False,False
25833,1,0,0,0,0.0,closed,True,True
25832,6,1,2,0,0.0,closed,True,True
25831,1,0,6,0,0.0,closed,False,False
25830,1,1,0,0,0.0,closed,True,True
25829,4,5,0,0,0.0,closed,True,True
25828,6,0,0,0,0.0,closed,True,True
25827,1,0,0,0,0.0,closed,True,True
25826,2,1,0,0,0.0,closed,False,False
25825,3,0,32,0,0.0,closed,False,False
25824,2,1,0,0,0.0,closed,True,True
