pr_number,lines_added,lines_deleted,comments,review_comments,avg_review_comments,state,merged,accepted
5555,47,1,1,0,0.0,closed,True,True
5554,47,24,2,1,0.25,closed,False,False
5553,4,4,3,0,0.0,closed,True,True
5551,13,13,2,0,0.0,closed,True,True
5548,7,0,1,0,0.0,closed,True,True
5547,4,4,1,0,0.0,closed,False,False
5546,5,5,1,0,0.0,closed,True,True
5545,1,1,2,0,0.0,closed,False,False
5544,6,6,2,0,0.0,closed,False,False
5543,141,113,1,0,0.0,closed,True,True
5540,15,15,1,0,0.0,closed,False,False
5539,15,15,2,0,0.0,closed,False,False
5536,18,31,3,0,0.0,closed,False,False
5535,182,45,0,0,0.0,closed,False,False
5530,19,19,0,0,0.0,closed,False,False
5529,23,23,0,0,0.0,closed,False,False
5526,2,1,3,0,0.0,closed,True,True
5525,47,13,1,0,0.0,closed,True,True
5523,226,88,3,0,0.0,closed,True,True
5522,833,292,10,4,0.4,closed,True,True
5521,192,0,1,0,0.0,closed,False,False
5520,138,0,5,0,0.0,closed,True,True
5519,58,7,5,0,0.0,closed,True,True
5503,0,1,9,0,0.0,closed,False,False
5502,15,15,2,0,0.0,closed,True,True
5490,1,148,3,0,0.0,closed,False,False
5487,1,0,5,0,0.0,closed,False,False
5485,0,67,3,0,0.0,closed,False,False
5482,1,0,3,0,0.0,closed,False,False
5477,21,41,0,1,1.0,closed,True,True
5476,1,0,1,0,0.0,closed,True,True
5475,51,22,1,0,0.0,closed,True,True
5474,12,5,1,0,0.0,closed,True,True
5473,42,8,1,0,0.0,closed,False,False
5471,42,27,5,0,0.0,closed,True,True
5470,14,0,1,0,0.0,closed,True,True
5467,2,2,6,0,0.0,closed,False,False
5463,28,2,5,0,0.0,closed,False,False
5462,69726,25572,3,0,0.0,closed,True,True
5461,34,3,1,0,0.0,closed,True,True
5460,58,76,1,0,0.0,closed,False,False
5459,11,2,1,0,0.0,closed,True,True
5458,16,12,1,0,0.0,closed,True,True
5457,46,44,13,0,0.0,closed,True,True
5456,13,12,1,0,0.0,closed,False,False
5455,29,29,0,0,0.0,closed,False,False
5453,1,1,7,0,0.0,closed,False,False
5452,32,0,2,0,0.0,closed,True,True
5447,95,38,17,2,1.0,closed,True,True
5445,51,51,5,0,0.0,closed,True,True
