Login,Contributions,URL,Type,Site Admin,Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
sanidhyas3s,2,https://github.com/sanidhyas3s,User,False,1216,30,24,7,24,12,40,False
riverar,2,https://github.com/riverar,User,False,5212,30,30,30,30,602,37,False
SamMercer172,2,https://github.com/SamMercer172,User,False,590,3,2,0,2,1,0,False
leVirve,2,https://github.com/leVirve,User,False,3984,30,30,8,30,109,630,False
Mattwmaster58,1,https://github.com/Mattwmaster58,User,False,2899,30,30,30,30,32,8,False
mkevenaar,1,https://github.com/mkevenaar,User,False,5003,30,30,30,30,46,77,False
Meir017,1,https://github.com/Meir017,User,False,3745,0,0,0,30,56,3,False
mythmon,1,https://github.com/mythmon,User,False,5361,0,0,0,30,174,19,False
MikeTheGreat,1,https://github.com/MikeTheGreat,User,False,5154,0,0,0,30,12,5,False
mickverm,1,https://github.com/mickverm,User,False,4635,0,0,0,30,7,6,False
mattwojo,1,https://github.com/mattwojo,User,False,3932,0,0,0,30,105,5,True
matthidinger,1,https://github.com/matthidinger,User,False,4752,0,0,0,27,123,183,True
xanatos,1,https://github.com/xanatos,User,False,5010,0,0,0,9,7,20,False
meixger,1,https://github.com/meixger,User,False,5126,30,25,30,30,16,64,False
martinchrzan-msft,1,https://github.com/martinchrzan-msft,User,False,1787,0,0,0,0,2,0,False
MartinBourbier,1,https://github.com/MartinBourbier,User,False,1269,10,9,4,12,14,3,False
Eagle3386,1,https://github.com/Eagle3386,User,False,4220,30,30,30,10,6,1,False
marius-bughiu,1,https://github.com/marius-bughiu,User,False,3601,18,16,7,9,12,46,False
msftgits,1,https://github.com/msftgits,User,False,3771,30,30,5,4,722,63,False
MikeBarker-MSFT,1,https://github.com/MikeBarker-MSFT,User,False,2547,13,13,8,10,7,6,True
mcbabo,1,https://github.com/mcbabo,User,False,1697,8,6,6,24,6,1,False
morriscurtis,1,https://github.com/morriscurtis,User,False,4335,1,1,3,3,3,0,False
mdanish-kh,1,https://github.com/mdanish-kh,User,False,1298,30,30,30,30,48,1,False
NN---,1,https://github.com/NN---,User,False,5137,0,0,0,30,25,5,False
NaroZeol,1,https://github.com/NaroZeol,User,False,881,0,0,0,12,3,33,False
naveensrinivasan,1,https://github.com/naveensrinivasan,User,False,5530,0,0,0,30,170,0,False
pingzing,1,https://github.com/pingzing,User,False,4217,0,0,0,30,33,28,False
Gentoli,1,https://github.com/Gentoli,User,False,4254,0,0,0,30,8,2,False
CaelestisZ,1,https://github.com/CaelestisZ,User,False,2268,0,0,0,11,22,6,False
Cyl18,1,https://github.com/Cyl18,User,False,3421,0,0,0,30,78,84,False
OkamiWong,1,https://github.com/OkamiWong,User,False,2974,0,0,0,30,46,50,False
Sajad-Lx,1,https://github.com/Sajad-Lx,User,False,2046,2,2,2,17,4,4,False
Parvezkhan0,1,https://github.com/Parvezkhan0,User,False,605,30,30,30,30,4,17,False
jovark,1,https://github.com/jovark,User,False,1932,9,8,2,10,2,10,False
JordanAnthonyKing,1,https://github.com/JordanAnthonyKing,User,False,1894,7,4,30,27,2,1,False
xjose97x,1,https://github.com/xjose97x,User,False,3844,11,8,22,18,71,7,False
jjavierdguezas,1,https://github.com/jjavierdguezas,User,False,3482,30,30,30,30,58,19,False
jmaraujouy,1,https://github.com/jmaraujouy,User,False,839,16,15,14,3,0,0,False
kit494way,1,https://github.com/kit494way,User,False,3270,30,30,30,30,17,8,False
vanzue,1,https://github.com/vanzue,User,False,1655,9,3,0,30,2,1,False
CartCaved,1,https://github.com/CartCaved,User,False,4461,9,4,16,8,0,0,False
qiankanglai,1,https://github.com/qiankanglai,User,False,4719,0,0,0,20,738,2613,False
kayone,1,https://github.com/kayone,User,False,5260,0,0,0,30,192,1,False
Keul125,1,https://github.com/Keul125,User,False,4727,0,0,0,5,0,1,False
kevinfu2,1,https://github.com/kevinfu2,User,False,4407,0,0,0,30,5,0,False
kevroy314,1,https://github.com/kevroy314,User,False,5366,0,0,0,30,13,3,False
UnderKoen,1,https://github.com/UnderKoen,User,False,3388,0,0,0,30,16,18,False
KohGeek,1,https://github.com/KohGeek,User,False,4003,0,0,0,30,34,25,False
korzo89,1,https://github.com/korzo89,User,False,4457,7,3,0,7,1,5,False
KreenChang,1,https://github.com/KreenChang,User,False,3849,1,1,3,1,1,0,False
KairuDeibisu,1,https://github.com/KairuDeibisu,User,False,2639,0,0,0,26,0,32,False
LNKLEO,1,https://github.com/LNKLEO,User,False,3702,15,10,13,13,4,1,False
belkiss,1,https://github.com/belkiss,User,False,4974,30,30,30,30,66,29,False
calendulish,1,https://github.com/calendulish,User,False,3849,30,27,30,30,15,67,False
LeagueOfPoro,1,https://github.com/LeagueOfPoro,User,False,1168,30,30,13,14,144,971,False
Lee-WonJun,1,https://github.com/Lee-WonJun,User,False,3698,30,25,25,30,130,1994,False
qazbnm456,1,https://github.com/qazbnm456,User,False,4045,30,30,30,30,989,15259,False
Leon99,1,https://github.com/Leon99,User,False,4003,30,26,30,30,4,3,False
TuxVisual92,1,https://github.com/TuxVisual92,User,False,2712,0,0,0,1,0,0,False
ghost1372,1,https://github.com/ghost1372,User,False,3778,0,0,0,30,347,1264,False
coc0a,1,https://github.com/coc0a,User,False,2886,0,0,0,4,15,0,False
maisondasilva,1,https://github.com/maisondasilva,User,False,3630,0,0,0,30,10,0,False
meitinger,1,https://github.com/meitinger,User,False,4372,0,0,0,30,22,63,False
manuelserradev,1,https://github.com/manuelserradev,User,False,3450,0,0,0,12,9,0,False
quachpas,1,https://github.com/quachpas,User,False,3144,0,0,0,30,8,20,False
jthoward64,1,https://github.com/jthoward64,User,False,2786,0,30,30,30,17,9,False
sorgloomer,1,https://github.com/sorgloomer,User,False,4106,13,9,30,30,21,5,False
thepwrtank18,1,https://github.com/thepwrtank18,User,False,1925,30,30,30,30,28,38,False
ThiefZero,1,https://github.com/ThiefZero,User,False,3810,0,0,0,6,0,1,False
timdp,1,https://github.com/timdp,User,False,5485,30,30,30,30,87,410,False
tom-doerr,1,https://github.com/tom-doerr,User,False,3017,30,30,30,30,914,62,False
tonymitchell,1,https://github.com/tonymitchell,User,False,4675,11,7,2,12,3,7,False
tony-xia,1,https://github.com/tony-xia,User,False,3650,30,30,2,23,32,59,False
torchgm,1,https://github.com/torchgm,User,False,2715,30,30,11,18,243,488,False
hallatore,1,https://github.com/hallatore,User,False,5298,30,30,30,30,75,1371,False
tupaschoal,1,https://github.com/tupaschoal,User,False,4046,30,0,0,30,89,2,False
UnclassedPenguin,1,https://github.com/UnclassedPenguin,User,False,3968,0,0,0,30,0,6,False
avarun42,1,https://github.com/avarun42,User,False,4144,0,0,0,30,74,2,False
viggyd,1,https://github.com/viggyd,User,False,2485,0,0,0,5,4,0,False
wmentha,1,https://github.com/wmentha,User,False,1994,0,0,0,7,3,0,False
maggch97,1,https://github.com/maggch97,User,False,3036,0,0,0,30,52,22,False
Sophanatprime,1,https://github.com/Sophanatprime,User,False,1981,30,29,23,26,11,50,False
WilkoLu,1,https://github.com/WilkoLu,User,False,1962,5,4,11,2,4,0,False
