pr_number,lines_added,lines_deleted,comments,review_comments,avg_review_comments,state,merged,accepted
6403,0,3,0,0,0.0,closed,True,True
6402,1,1,0,0,0.0,closed,True,True
6401,19,4,0,1,1.0,open,False,False
6397,8,15,1,0,0.0,closed,True,True
6396,15,1,0,1,0.5,closed,False,False
6395,236,131,1,0,0.0,closed,True,True
6394,12,4,0,0,0.0,closed,True,True
6393,90,1,0,4,4.0,closed,False,False
6392,70,89,1,3,0.75,closed,True,True
6391,115,95,1,3,0.75,closed,True,True
6388,30,1,3,0,0.0,closed,True,True
6387,425,144,2,1,0.3333333333333333,closed,True,True
6386,0,17,0,0,0.0,closed,True,True
6385,198,131,1,1,0.14285714285714285,closed,True,True
6384,78,39,1,0,0.0,closed,True,True
6382,15,1,1,0,0.0,closed,False,False
6381,59,9,3,1,0.5,closed,True,True
6380,107,3,0,0,0.0,open,False,False
6379,107,3,0,0,0.0,closed,False,False
6377,15,2,3,3,1.0,closed,False,False
6376,43,20,4,1,0.3333333333333333,closed,False,False
6374,79,3,10,10,0.9090909090909091,closed,True,True
6373,91,2,0,7,3.5,open,False,False
6372,1,1,2,0,0.0,closed,True,True
6371,61,35,1,4,4.0,closed,True,True
6370,17,10,1,0,0.0,closed,True,True
6368,73,126,1,7,2.3333333333333335,closed,True,True
6367,3,3,2,0,0.0,closed,True,True
6363,1721,349,1,1,0.022727272727272728,closed,True,True
6359,89,2,1,3,0.6,closed,True,True
6358,401,83,1,0,0.0,closed,True,True
6357,133,16,0,0,0.0,closed,True,True
6356,174,89,1,0,0.0,closed,True,True
6353,204,101,2,1,0.5,closed,True,True
6352,30,6,4,5,2.5,closed,True,True
6349,5,8,6,0,0.0,closed,True,True
6348,5,5,0,0,0.0,closed,False,False
6347,7,4,1,2,0.5,closed,True,True
6346,0,0,0,0,0,closed,False,False
6344,4,8,1,0,0.0,closed,True,True
6341,241,163,0,5,0.8333333333333334,closed,True,True
6337,102,69,1,0,0.0,closed,True,True
